Year,Town,Type,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Lyndon,Grand Total,2607,4784.0,1013.0,1318.0,21.0,255.0,93902036.0,59820949.0,58393255.0,2744334.752400001
2005,Maidstone,Grand Total,77,141.0,40.0,31.0,0.0,6.0,2807414.0,1719354.0,1677889.0,66982.177
2005,Manchester,Grand Total,2352,4170.0,895.0,1201.0,51.0,205.0,158223961.0,113806005.0,104673432.0,5561393.238800001
2005,Marlboro,Grand Total,422,778.0,183.0,200.0,8.0,31.0,24298538.0,16799494.0,15468645.0,705927.1066999999
2005,Marshfield,Grand Total,746,1453.0,331.0,326.0,13.0,76.0,30556104.0,20409822.0,19763326.0,880794.5543
2005,Mendon,Grand Total,568,1057.0,255.0,267.0,8.0,38.0,40833804.0,30484271.0,29250099.0,1587575.4588999997
2005,Middlebury,Grand Total,3294,5660.0,1158.0,1808.0,47.0,281.0,147303520.0,99189920.0,96155404.0,4592055.1451
2005,Middlesex,Grand Total,855,1688.0,410.0,355.0,7.0,83.0,45302270.0,31552794.0,30164816.0,1374868.9828
2005,Middletown Springs,Grand Total,384,739.0,194.0,163.0,2.0,25.0,15705980.0,9929322.0,9503379.0,393655.80270000006
2005,Milton,Grand Total,4941,9859.0,2309.0,2135.0,60.0,437.0,227582685.0,152153078.0,150054567.0,6628549.1109000025
2005,Monkton,Grand Total,828,1829.0,485.0,287.0,9.0,47.0,48727948.0,33752521.0,32867745.0,1624921.7862000002
2005,Montgomery,Grand Total,564,1066.0,233.0,252.0,13.0,66.0,20506511.0,13313261.0,12596286.0,531466.7249
2005,Montpelier,Grand Total,4294,7202.0,1409.0,2418.0,72.0,395.0,202160164.01,140605747.0,135410382.0,6594220.301800005
2005,Moretown,Grand Total,830,1554.0,357.0,403.0,20.0,50.0,39577365.0,28330422.0,27095237.0,1307349.2731
2005,Morgan,Grand Total,338,644.0,168.0,128.0,7.0,35.0,17527499.0,12107582.0,11126578.0,637949.3328
2005,Morristown,Grand Total,2678,4901.0,1039.0,1314.0,38.0,287.0,112336611.0,70827349.0,68300551.0,3232015.1192
2005,Mt. Holly,Grand Total,644,1218.0,314.0,272.0,13.0,45.0,27417502.0,17801901.0,17293230.0,762498.8620999998
2005,Mt. Tabor,Grand Total,80,166.0,40.0,33.0,0.0,7.0,3146215.0,1920830.0,1902755.0,77316.0
2005,N. Bennington ID,Grand Total,560,985.0,218.0,296.0,6.0,40.0,23156324.0,15114021.0,14452311.0,602726.7936000001
2005,New Haven,Grand Total,847,1704.0,421.0,352.0,16.0,58.0,41560258.0,28852001.0,27279955.0,1330895.4721
2005,Newark,Grand Total,253,475.0,116.0,126.0,0.0,11.0,8653315.0,5180512.0,4974740.0,193655.9369
2005,Newbury,Grand Total,806,1590.0,392.0,338.0,18.0,58.0,31403918.0,20370020.0,19532690.0,830518.6787999999
2005,Newfane,Grand Total,880,1616.0,390.0,411.0,8.0,71.0,38341265.56,25805120.56,24818613.56,1105975.8651
2005,Newport City,Grand Total,2098,3665.0,723.0,1120.0,23.0,232.0,69386525.0,44211963.0,42760435.0,1951998.4997
2005,Newport Town,Grand Total,787,1538.0,376.0,340.0,12.0,59.0,27714410.0,17395655.0,16482170.0,747497.6073
2005,North Hero,Grand Total,459,861.0,228.0,195.0,6.0,30.0,23801818.0,16599428.0,16038499.0,766282.2649999999
2005,Northfield,Grand Total,2276,4175.0,923.0,1106.0,38.0,209.0,96648816.0,64338058.0,62378293.0,2832536.7486000014
2005,Norton,Grand Total,86,148.0,36.0,41.0,4.0,5.0,2264596.0,1275467.0,1265708.0,48424.82650000001
2005,Norwich,Grand Total,1816,3495.0,809.0,857.0,39.0,111.0,203679341.66,156159400.66,136071008.66,7975253.188099997
2005,Orange,Grand Total,523,997.0,253.0,224.0,7.0,39.0,20649174.0,13259883.0,13033873.0,537898.0890000003
2005,Orleans,Grand Total,514,927.0,176.0,277.0,8.0,53.0,15953809.0,9643156.0,9450993.0,394308.6063
2005,Orwell,Grand Total,580,1187.0,294.0,234.0,9.0,43.0,22811657.0,14531799.0,13602719.0,557841.4715
2005,Panton,Grand Total,298,629.0,164.0,110.0,2.0,22.0,14382098.0,9486928.0,9102648.0,423971.4151
2005,Pawlet,Grand Total,724,1394.0,319.0,333.0,13.0,59.0,28671799.0,18663359.0,17715768.0,653206.5168999998
2005,Peacham,Grand Total,336,678.0,169.0,140.0,5.0,22.0,16660298.0,11212862.0,10580411.0,525169.5274
2005,Peru,Grand Total,197,351.0,89.0,97.0,1.0,10.0,12387690.0,8565736.0,7858431.0,303850.9071
2005,Pittsfield,Grand Total,228,413.0,106.0,109.0,6.0,7.0,17115226.0,13122225.0,11452485.0,508611.1773
2005,Pittsford,Grand Total,1514,2894.0,717.0,663.0,21.0,113.0,70240399.0,48004421.0,47089998.0,2192244.9965
2005,Plainfield,Grand Total,731,1291.0,264.0,372.0,7.0,88.0,27818453.0,17922176.0,17550458.0,750791.0962000003
2005,Plymouth,Grand Total,260,471.0,124.0,119.0,8.0,9.0,12658674.0,8442425.0,8030556.0,352273.7
2005,Pomfret,Grand Total,476,892.0,230.0,205.0,14.0,27.0,42050854.0,32908042.0,27921960.0,1566615.7179
2005,Poultney,Grand Total,1444,2726.0,640.0,678.0,11.0,115.0,59257429.27,38902682.03,37675927.03,1692252.9342000003
2005,Pownal,Grand Total,1506,3010.0,741.0,597.0,19.0,149.0,60323066.0,39037936.0,37680682.0,1068949.2504
2005,Proctor,Grand Total,921,1782.0,409.0,423.0,13.0,76.0,39643985.0,26345687.0,26022115.0,1215455.862
2005,Putney,Grand Total,1291,2238.0,447.0,700.0,29.0,115.0,54326226.0,39244319.0,36209047.0,1672921.7081000004
2005,Randolph,Grand Total,2227,4111.0,900.0,1095.0,27.0,205.0,89783446.0,58409767.0,56951656.0,2583625.2942000004
2005,Reading,Grand Total,377,668.0,159.0,182.0,9.0,27.0,16456525.0,10991937.0,10587740.0,485816.846
2005,Readsboro,Grand Total,341,658.0,158.0,152.0,3.0,28.0,10862687.0,6543652.0,6455130.0,164627.8337
2005,Richford,Grand Total,1011,2031.0,427.0,456.0,14.0,114.0,30123720.0,17064708.0,16800269.0,671266.0753
2005,Richmond,Grand Total,2039,4070.0,976.0,899.0,25.0,139.0,120031816.0,85417762.0,82744319.0,4223847.6261
2005,Ripton,Grand Total,282,538.0,128.0,137.0,1.0,16.0,17052813.0,11970269.0,10805567.0,560165.2631000001
2005,Rochester,Grand Total,598,1065.0,254.0,295.0,9.0,40.0,25941999.0,17309365.0,16650093.0,777624.9574
2005,Rockingham,Grand Total,2525,4648.0,940.0,1279.0,48.0,258.0,89723034.0,56820268.0,55197901.0,2351806.3462
2005,Roxbury,Grand Total,318,645.0,154.0,127.0,7.0,30.0,13229234.0,8501051.0,8323397.0,348779.5552
2005,Royalton,Grand Total,1253,2250.0,512.0,639.0,10.0,92.0,46232910.53,29922311.0,28802275.0,1249092.3439999998
2005,Rupert,Grand Total,314,612.0,167.0,128.0,2.0,17.0,28657894.0,16767688.0,13022242.0,734742.3287
2005,Rutland City,Grand Total,8359,14346.0,2727.0,4696.0,100.0,836.0,308987806.0,201713664.0,194913244.0,8935731.744099999
2005,Rutland Town,Grand Total,2092,3857.0,966.0,973.0,28.0,125.0,125732278.0,92589117.0,88695121.0,4980132.677800002
2005,Ryegate,Grand Total,594,1124.0,272.0,256.0,10.0,56.0,21333652.0,13524652.0,13041751.0,533458.2577
2005,Salisbury,Grand Total,559,1082.0,241.0,265.0,7.0,46.0,23954074.0,15581589.0,15139607.0,645968.5209000001
2005,Sandgate,Grand Total,159,290.0,74.0,70.0,4.0,11.0,7141552.0,4597644.0,4297049.0,163827.5454
2005,Searsburg,Grand Total,31,60.0,15.0,15.0,0.0,1.0,846576.0,487753.0,487262.0,17820.0
2005,Shaftbury ID,Grand Total,243,563.0,149.0,74.0,0.0,20.0,13402158.0,9111581.0,8972181.0,375149.5603
2005,Shaftsbury,Grand Total,1427,2763.0,697.0,618.0,17.0,95.0,71699334.0,48155639.0,46560906.0,2101497.9049
2005,Sharon,Grand Total,733,1389.0,320.0,352.0,8.0,53.0,35565047.0,23963518.0,23076106.0,1093361.9650999994
2005,Sheffield,Grand Total,333,641.0,148.0,145.0,8.0,32.0,10474367.0,6058465.0,5929392.0,237998.6624
2005,Shelburne,Grand Total,3710,7097.0,1648.0,1802.0,39.0,221.0,380624198.0,284802695.0,261313096.0,16322751.346699998
2005,Sheldon,Grand Total,974,2002.0,439.0,409.0,16.0,110.0,38866825.0,24996154.0,24472898.0,1101195.8294999998
2005,Shoreham,Grand Total,636,1239.0,304.0,284.0,7.0,41.0,27253478.0,18057955.0,17197049.0,819081.9372
2005,Shrewsbury,Grand Total,584,1072.0,277.0,265.0,7.0,35.0,29963962.0,20449080.0,19536966.0,999589.2831
2005,South Burlington,Grand Total,9222,16108.0,3415.0,5065.0,116.0,626.0,577292985.17,420293092.18,395015410.18,20652149.255999997
2005,South Hero,Grand Total,899,1661.0,422.0,406.0,11.0,60.0,56087130.0,39779155.0,38304737.0,2037070.6495
2005,Springfield,Grand Total,4644,8456.0,1871.0,2251.0,80.0,442.0,171995808.0,109957005.0,106585154.0,4650692.742199998
2005,St. Albans City,Grand Total,3479,6240.0,1128.0,1878.0,71.0,402.0,141442572.0,92792230.0,87388346.0,4143184.8655999983
2005,St. Albans Town,Grand Total,2842,5552.0,1279.0,1263.0,36.0,264.0,133537988.0,91367493.0,89002794.0,4246605.257099999
2005,St. George,Grand Total,323,618.0,140.0,146.0,3.0,34.0,16430861.0,11318523.0,10925219.0,542298.2494999999
2005,St. Johnsbury,Grand Total,3500,6397.0,1302.0,1787.0,39.0,372.0,125420512.01,79639024.0,77814768.0,3540794.8842000007
2005,Stamford,Grand Total,372,766.0,206.0,140.0,7.0,19.0,18014634.0,12132774.0,11596428.0,193095.9499
2005,Stannard,Grand Total,86,160.0,33.0,39.0,1.0,13.0,2560999.0,1471199.0,1449077.0,63310.515
2005,Starksboro,Grand Total,836,1730.0,374.0,370.0,11.0,81.0,35363410.0,22652257.0,22008013.0,948955.9386
2005,Stockbridge,Grand Total,319,616.0,151.0,140.0,8.0,20.0,14126652.0,9485000.0,8943521.0,349051.3806
2005,Stowe,Grand Total,2433,4244.0,948.0,1318.0,37.0,130.0,250560598.01,195527048.0,174274128.0,11354716.3281
2005,Strafford,Grand Total,554,1104.0,270.0,236.0,7.0,41.0,31890775.0,22596122.0,20926496.0,1080399.8575000002
2005,Stratton,Grand Total,146,259.0,54.0,76.0,8.0,8.0,8818961.0,6029413.0,5660501.0,267234.9122
2005,Sudbury,Grand Total,254,505.0,139.0,97.0,4.0,14.0,11919412.0,7979498.0,7658093.0,340148.10530000005
2005,Sunderland,Grand Total,431,847.0,231.0,161.0,6.0,33.0,21107379.0,14376501.0,13727530.0,577428.4443000001
2005,Sutton,Grand Total,443,888.0,220.0,183.0,7.0,33.0,15115121.0,8993422.0,8702886.0,354461.0479999999
2005,Swanton,Grand Total,3148,6123.0,1365.0,1433.0,49.0,301.0,137137533.0,90841981.0,88642349.0,4048181.1014
2005,Thetford,Grand Total,1433,2713.0,635.0,656.0,28.0,114.0,76957580.0,54173920.0,51408473.0,2519025.161699999
2005,Tinmouth,Grand Total,266,509.0,125.0,115.0,4.0,22.0,11604863.0,7814507.0,7221191.0,282828.78390000004
2005,Topsham,Grand Total,544,1095.0,251.0,228.0,11.0,54.0,18902430.0,11360122.0,11074692.0,450601.7724
2005,Townshend,Grand Total,542,1005.0,234.0,261.0,8.0,39.0,24187120.0,16331561.0,15589088.0,741438.5781
2005,Troy,Grand Total,799,1539.0,346.0,367.0,14.0,72.0,24316257.0,14329088.0,14165340.0,597099.8751000001
2005,Tunbridge,Grand Total,621,1152.0,283.0,281.0,5.0,52.0,25553411.0,16738223.0,16123905.0,698434.8577000003
2005,Underhill ID,Grand Total,392,734.0,178.0,198.0,3.0,13.0,19880082.01,13855696.0,13408195.0,611204.5956000002
2005,Underhill Town,Grand Total,1161,2484.0,655.0,439.0,14.0,53.0,76771453.0,54478810.0,52693775.0,2651548.7432
2005,Vergennes,Grand Total,1328,2418.0,476.0,703.0,17.0,132.0,48567210.0,30331128.0,29908091.0,1234994.1461
2005,Vernon,Grand Total,1011,2065.0,509.0,422.0,7.0,73.0,51541677.0,35065313.0,33401334.0,1461794.5388999996
2005,Vershire,Grand Total,345,660.0,147.0,169.0,3.0,26.0,13885724.0,8748874.0,8563955.0,356068.6674
2005,Victory,Grand Total,23,39.0,12.0,10.0,0.0,1.0,579857.0,273331.0,265240.0,9341.5806
2005,Waitsfield,Grand Total,1007,1790.0,409.0,503.0,22.0,73.0,60325589.8,44345842.76000001,41661134.76,2313714.6175
2005,Walden,Grand Total,383,814.0,187.0,148.0,4.0,44.0,12687920.0,7669914.0,7531882.0,312538.6258
2005,Wallingford,Grand Total,1098,2038.0,510.0,487.0,11.0,90.0,48733611.0,32376913.0,31414063.0,1414479.8831999996
2005,Waltham,Grand Total,217,419.0,109.0,98.0,6.0,4.0,12078436.0,8555150.0,8124256.0,415368.4001
